h_a,minutes_since_last_goal_before_match,reliability_score,delay_score,time_last_3_matches,goals_last_3_matches,xG_last_3_matches,total_team_matches_before_match,team_pts_before_match,total_team_goals_scored_before_match,total_team_xg_before_match,total_opponent_matches_before_match,opponent_pts_before_match,total_opponent_goals_conceded_before_match,total_opponent_xga_before_match,opponent_clean_sheet_rate_before_match,scored,starting,league_Bundesliga,league_EPL,league_La_Liga,league_Ligue_1,league_Serie_A,ratio_min_goals_last_3_matches,ratio_min_xg_last_3_matches,ratio_pts_match,ratio_pts_match_opponent,ratio_goals_scored,ratio_xG,ratio_goals_conceded_opponent,ratio_xga_opponent
0,20.0,0.7174362677871489,-0.8597049974183666,270.0,1.0,2.2739060819149017,3,7,6,8.06148,3,6,3,4.548714,0.3333333333333333,1,1,0.0,0.0,1.0,0.0,0.0,270.0,118.73841322972653,2.3333333333333335,2.0,2.0,2.68716,1.0,1.5162380000000002
1,5.0,0.7174362677871489,-0.9975493298463023,270.0,2.0,3.190066933631897,4,10,8,9.83403,4,7,5,5.485542,0.5,1,1,0.0,0.0,1.0,0.0,0.0,135.0,84.63772253599849,2.5,1.75,2.0,2.4585075,1.25,1.3713855
1,59.0,0.7174362677871489,-0.5013097331057339,270.0,3.0,3.2611104249954224,5,13,13,12.38031,5,4,7,7.516446,0.0,1,1,0.0,0.0,1.0,0.0,0.0,90.0,82.79388454022651,2.6,0.8,2.6,2.4760619999999998,1.4,1.5032892
0,6.0,0.7174362677871489,-0.9883597076844399,270.0,4.0,2.6937366127967834,6,16,16,14.20277,6,5,10,11.71273,0.3333333333333333,0,0,0.0,0.0,1.0,0.0,0.0,67.5,100.2325166897707,2.6666666666666665,0.8333333333333334,2.6666666666666665,2.367128333333333,1.6666666666666667,1.9521216666666668
1,31.0,0.7174362677871489,-0.7586191536378805,205.0,3.0,1.6289605647325516,7,17,18,15.830919999999999,6,7,9,8.30199,0.3333333333333333,0,1,0.0,0.0,1.0,0.0,0.0,68.33333333333333,125.84712266110482,2.4285714285714284,1.1666666666666667,2.5714285714285716,2.26156,1.5,1.383665
1,121.0,0.7174362677871489,0.06844684092973345,205.0,2.0,1.6973968297243118,10,24,22,23.0889,10,25,7,13.368508,0.5,0,0,0.0,0.0,1.0,0.0,0.0,102.5,120.77317243092514,2.4,2.5,2.2,2.30889,0.7,1.3368508000000001
0,148.0,0.7174362677871489,0.31656663930001766,142.0,0.0,0.997726134955883,11,24,23,24.40928,11,19,14,17.481798,0.36363636363636365,0,1,0.0,0.0,1.0,0.0,0.0,300.0,142.3236247151919,2.1818181818181817,1.7272727272727273,2.090909090909091,2.2190254545454544,1.2727272727272727,1.5892543636363639
1,205.0,0.7174362677871489,0.8403751025261731,174.0,0.0,0.7585163488984108,12,27,24,25.62969,12,12,16,16.777459999999998,0.16666666666666666,1,1,0.0,0.0,1.0,0.0,0.0,300.0,229.39518739800303,2.25,1.0,2.0,2.1358075,1.3333333333333333,1.3981216666666665
0,13.0,0.7174362677871489,-0.9240323525514033,174.0,2.0,1.2092526331543922,13,30,26,27.44108,13,18,17,19.504517,0.46153846153846156,0,1,0.0,0.0,1.0,0.0,0.0,87.0,143.89052810752443,2.3076923076923075,1.3846153846153846,2.0,2.1108523076923076,1.3076923076923077,1.5003474615384615
1,103.0,0.7174362677871489,-0.09696635798378933,237.0,2.0,1.3235208243131638,14,31,27,28.74735,13,31,12,12.057730000000001,0.38461538461538464,0,1,0.0,0.0,1.0,0.0,0.0,118.5,179.0678285118712,2.2142857142857144,2.3846153846153846,1.9285714285714286,2.053382142857143,0.9230769230769231,0.9275176923076924
1,193.0,0.7174362677871489,0.7300996365838246,270.0,2.0,2.9605200737714767,15,34,28,31.93524,15,38,18,22.662759,0.26666666666666666,1,1,0.0,0.0,1.0,0.0,0.0,135.0,91.20019228785048,2.2666666666666666,2.533333333333333,1.8666666666666667,2.129016,1.2,1.5108506000000002
0,72.0,0.7174362677871489,-0.38184464500152304,270.0,1.0,2.9740418642759323,16,34,30,36.18972,16,19,21,19.340627,0.3125,0,1,0.0,0.0,1.0,0.0,0.0,270.0,90.78554113283637,2.125,1.1875,1.875,2.2618575,1.3125,1.2087891875
1,162.0,0.7174362677871489,0.44522134956609094,270.0,1.0,3.4286469221115112,17,35,31,39.35101,17,5,39,34.598399,0.11764705882352941,0,1,0.0,0.0,1.0,0.0,0.0,270.0,78.74826604593108,2.0588235294117645,0.29411764705882354,1.8235294117647058,2.314765294117647,2.2941176470588234,2.0351999411764705
0,252.0,0.7174362677871489,1.2722873441337048,270.0,1.0,2.626985490322113,18,38,34,43.400040000000004,18,25,15,27.7866468,0.2222222222222222,0,1,0.0,0.0,1.0,0.0,0.0,270.0,102.77940285345596,2.111111111111111,1.3888888888888888,1.8888888888888888,2.4111133333333337,0.8333333333333334,1.5437026
0,328.0,0.7174362677871489,1.9706986284352455,256.0,0.0,1.5297372192144394,19,41,36,45.76084,20,31,20,26.124531,0.4,0,1,0.0,0.0,1.0,0.0,0.0,300.0,167.34900398871304,2.1578947368421053,1.55,1.894736842105263,2.4084652631578947,1.0,1.30622655
1,394.0,0.7174362677871489,2.5772136911181622,232.0,0.0,0.933920368552208,20,44,40,48.471090000000004,21,20,42,39.392708,0.09523809523809523,0,1,0.0,0.0,1.0,0.0,0.0,300.0,248.41518379094092,2.2,0.9523809523809523,2.0,2.4235545000000003,2.0,1.8758432380952381
