strategy,nb_bets,prop_winning_bets,final_gain,max_cumulative_gain,max_cumulative_loss,max_consecutive_losses,nb_three_or_more_consecutive_losses,max_gain_day,max_loss_day,roi,strat_score
strategy_6_noML,108,0.48148148148148145,52,52,-25,6,22,64,-48,0.11818181818181818,4.172839506172839
strategy_6_lr_0.5,76,0.5263157894736842,40,40,0,4,18,16,-8,0.20408163265306123,5.263157894736842
strategy_6_lr_0.53,57,0.543859649122807,30,31,-2,5,25,33,-16,0.1744186046511628,3.3719298245614033
strategy_6_lr_0.55,38,0.631578947368421,23,24,0,3,10,8,-4,0.34328358208955223,5.052631578947368
strategy_6_lr_0.6,18,0.7222222222222222,13,13,0,2,0,2,-1,0.52,4.694444444444445
strategy_6_lr_0.65,6,0.8333333333333334,5,5,0,1,0,2,-1,0.7142857142857143,4.166666666666667
strategy_6_xgb_0.5,67,0.47761194029850745,32,32,-15,5,25,33,-16,0.13333333333333333,3.056716417910448
strategy_6_xgb_0.53,54,0.5185185185185185,28,28,0,4,9,8,-4,0.2222222222222222,3.6296296296296293
strategy_6_xgb_0.55,50,0.56,28,28,0,4,5,8,-4,0.2692307692307692,3.9200000000000004
strategy_6_xgb_0.6,28,0.5357142857142857,14,15,-8,4,12,8,-4,0.2,2.008928571428571
strategy_6_xgb_0.65,11,0.5454545454545454,5,6,-4,3,1,4,-2,0.21739130434782608,1.0909090909090908
